Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
BOM,1.381,,,,,,,,,,,,,,
REC,1.381,,,,,,,,,,,,,,
ACWX,1.381,,,,,,,,,,,,,,
FDM,1.380,,,,,,,,,,,,,,
PMR,1.379,,,,,,,,,,,,,,
VTHR,1.378,,,,,,,,,,,,,,
GSW,1.378,,,,,,,,,,,,,,
FNI,1.376,,,,,,,,,,,,,,
RSXJ,1.376,,,,,,,,,,,,,,
XHS,1.375,,,,,,,,,,,,,,
RKH,1.375,,,,,,,,,,,,,,
BJK,1.375,,,,,,,,,,,,,,
IHE,1.373,,,,,,,,,,,,,,
QQEW,1.372,,,,,,,,,,,,,,
PDN,1.371,,,,,,,,,,,,,,
UPV,1.370,,,,,,,,,,,,,,
CPER,1.369,,,,,,,,,,,,,,
IDU,1.369,,,,,,,,,,,,,,
LBJ,1.367,,,,,,,,,,,,,,
QDF,1.367,,,,,,,,,,,,,,
VNM,1.367,,,,,,,,,,,,,,
EMLB,1.366,,,,,,,,,,,,,,
EMCB,1.366,,,,,,,,,,,,,,
SCHX,1.366,,,,,,,,,,,,,,
BKF,1.365,,,,,,,,,,,,,,
JGBD,1.364,,,,,,,,,,,,,,
EIRL,1.364,,,,,,,,,,,,,,
PRN,1.364,,,,,,,,,,,,,,
EPOL,1.363,,,,,,,,,,,,,,
RZG,1.363,,,,,,,,,,,,,,
KRS,1.361,,,,,,,,,,,,,,
CAFE,1.361,,,,,,,,,,,,,,
SJB,1.361,,,,,,,,,,,,,,
GBF,1.361,,,,,,,,,,,,,,
FLOT,1.361,,,,,,,,,,,,,,
REW,1.360,,,,,,,,,,,,,,
VTIP,1.359,,,,,,,,,,,,,,
PEJ,1.358,,,,,,,,,,,,,,
XSD,1.358,,,,,,,,,,,,,,
WOOD,1.355,,,,,,,,,,,,,,
INDL,1.354,,,,,,,,,,,,,,
JKE,1.354,,,,,,,,,,,,,,
LSC,1.354,,,,,,,,,,,,,,
DDP,1.351,,,,,,,,,,,,,,
RFF,1.351,,,,,,,,,,,,,,
BIZD,1.349,,,,,,,,,,,,,,
SKYY,1.349,,,,,,,,,,,,,,
SDOG,1.348,,,,,,,,,,,,,,
DGS,1.348,,,,,,,,,,,,,,
XRO,1.346,,,,,,,,,,,,,,
JGBS,1.345,,,,,,,,,,,,,,
CSJ,1.345,,,,,,,,,,,,,,
EFN,1.344,,,,,,,,,,,,,,
FIGY,1.343,,,,,,,,,,,,,,
OEF,1.343,,,,,,,,,,,,,,
TLO,1.342,,,,,,,,,,,,,,
DBV,1.341,,,,,,,,,,,,,,
DFJ,1.341,,,,,,,,,,,,,,
FENY,1.340,,,,,,,,,,,,,,
PCA,1.340,,,,,,,,,,,,,,
RGI,1.339,,,,,,,,,,,,,,
CSM,1.339,,,,,,,,,,,,,,
GCC,1.338,,,,,,,,,,,,,,
ADRE,1.337,,,,,,,,,,,,,,
RJZ,1.335,,,,,,,,,,,,,,
GSY,1.334,,,,,,,,,,,,,,
OFF,1.334,,,,,,,,,,,,,,
FILL,1.333,,,,,,,,,,,,,,
TRNM,1.333,,,,,,,,,,,,,,
SCHF,1.333,,,,,,,,,,,,,,
PHO,1.332,,,,,,,,,,,,,,
XTN,1.331,,,,,,,,,,,,,,
EFAV,1.330,,,,,,,,,,,,,,
EES,1.329,,,,,,,,,,,,,,
KBWR,1.329,,,,,,,,,,,,,,
DRV,1.328,,,,,,,,,,,,,,
SLVO,1.328,,,,,,,,,,,,,,
CQQQ,1.328,,,,,,,,,,,,,,
GLTR,1.327,,,,,,,,,,,,,,
IGS,1.326,,,,,,,,,,,,,,
JCO,1.326,,,,,,,,,,,,,,
TDD,1.325,,,,,,,,,,,,,,
VIXH,1.325,,,,,,,,,,,,,,
QUAL,1.324,,,,,,,,,,,,,,
DGRW,1.321,,,,,,,,,,,,,,
MGC,1.321,,,,,,,,,,,,,,
RWV,1.321,,,,,,,,,,,,,,
VBK,1.320,,,,,,,,,,,,,,
SCZ,1.320,,,,,,,,,,,,,,
VCLT,1.320,,,,,,,,,,,,,,
FKL,1.319,,,,,,,,,,,,,,
